date,disaster_type,title
2025-07-02,Wildfires,"0391 GRIZZLY FLAT Wildfire, Jefferson, Oregon"
2025-07-02,Wildfires,"GREEN Wildfire, Shasta, California"
2025-07-01,Wildfires,"Powder River Wildfire, Johnson, Wyoming"
2025-07-01,Wildfires,"HALL Wildfire, Hot Springs, Wyoming"
2025-07-01,Wildfires,"Black Canyon Wildfire, Lake, Oregon"
2025-07-01,Wildfires,"Mosquito Wildfire, Monroe, Florida"
2025-06-30,Wildfires,"JUNIPER Wildfire, Riverside, California"
2025-06-29,Wildfires,"WOLF Wildfire, Riverside, California"
2025-06-29,Wildfires,"Taylor Draw Wildfire, Carbon, Wyoming"
2025-06-28,Wildfires,"Oak Ridge Wildfire, Apache, Arizona"
2019-03-13,Sea and Lake Ice,Iceberg C18B
2020-07-03,Sea and Lake Ice,Iceberg C18B
2020-07-10,Sea and Lake Ice,Iceberg C18B
2020-07-17,Sea and Lake Ice,Iceberg C18B
2020-07-31,Sea and Lake Ice,Iceberg C18B
2020-08-14,Sea and Lake Ice,Iceberg C18B
2020-12-04,Sea and Lake Ice,Iceberg C18B
2021-02-19,Sea and Lake Ice,Iceberg C18B
2021-02-26,Sea and Lake Ice,Iceberg C18B
2021-03-05,Sea and Lake Ice,Iceberg C18B
2021-03-19,Sea and Lake Ice,Iceberg C18B
2021-04-02,Sea and Lake Ice,Iceberg C18B
2021-04-09,Sea and Lake Ice,Iceberg C18B
2021-04-16,Sea and Lake Ice,Iceberg C18B
2023-03-24,Sea and Lake Ice,Iceberg C18B
2023-04-21,Sea and Lake Ice,Iceberg C18B
2023-04-28,Sea and Lake Ice,Iceberg C18B
2023-06-02,Sea and Lake Ice,Iceberg C18B
2023-10-20,Sea and Lake Ice,Iceberg C18B
2024-02-02,Sea and Lake Ice,Iceberg C18B
2024-03-01,Sea and Lake Ice,Iceberg C18B
2024-03-15,Sea and Lake Ice,Iceberg C18B
2024-03-22,Sea and Lake Ice,Iceberg C18B
2024-03-29,Sea and Lake Ice,Iceberg C18B
2025-06-27,Sea and Lake Ice,Iceberg C18B
2025-07-04,Sea and Lake Ice,Iceberg C18B
2025-07-18,Sea and Lake Ice,Iceberg C18B
2025-07-24,Sea and Lake Ice,Iceberg C18B
2025-07-31,Sea and Lake Ice,Iceberg C18B
2025-08-08,Sea and Lake Ice,Iceberg C18B
2025-08-14,Sea and Lake Ice,Iceberg C18B
2025-08-21,Sea and Lake Ice,Iceberg C18B
2025-08-28,Sea and Lake Ice,Iceberg C18B
2025-11-07,Sea and Lake Ice,Iceberg C18B
2025-11-14,Sea and Lake Ice,Iceberg C18B
2025-11-21,Sea and Lake Ice,Iceberg C18B
2025-06-26,Wildfires,"Horse Draw Wildfire, Moffat, Colorado"
2025-06-26,Wildfires,"EVP CP-1 Exotics Rx 0626 Prescribed Fire, Monroe, Florida"
2025-06-25,Wildfires,"EVP CP-1 Exotics Rx 0625 Prescribed Fire, Monroe, Florida"
2025-06-25,Wildfires,"EVER CP-1 Exotics Rx Prescribed Fire, Monroe, Florida"
2025-06-25,Wildfires,"FPR CPT 35 36 Rx 0625 Prescribed Fire, Collier, Florida"
2025-06-25,Wildfires,"OKR Soldiers Camp Island Rx 0625 Prescribed Fire, Ware, Georgia"
2025-06-24,Wildfires,"Indian Prairie Canal (22) Wildfire, Glades, Florida"
2025-06-24,Wildfires,"HENRY GEORGE WEST (29)~ Wildfire, Hillsborough, Florida"
2025-06-24,Wildfires,"OKR Floyds Island Rx 0624 Prescribed Fire, Charlton, Georgia"
2025-06-23,Wildfires,"Racquet Wildfire, Yukon-Koyukuk, Alaska"
2025-06-23,Wildfires,"BARSTOW ROAD Wildfire, Walla Walla, Washington"
2025-06-22,Wildfires,"New Cottonwood Wildfire, Northwest Arctic, Alaska"
2025-06-22,Wildfires,"Shortcut Wildfire, Yukon-Koyukuk, Alaska"
2025-06-22,Wildfires,"Ikpikpuk Wildfire, North Slope, Alaska"
2025-06-22,Wildfires,"Bronx Wildfire, North Slope, Alaska"
2025-06-22,Wildfires,"Nenana Ridge Complex Incident Complex, Fairbanks North Star, Alaska"
2025-06-22,Volcanoes,"Kirishimayama Volcano, Japan"
2025-06-21,Wildfires,"Roundabout Complex Incident Complex, Yukon-Koyukuk, Alaska"
2025-06-21,Wildfires,"Yellow Wildfire, Yukon-Koyukuk, Alaska"
2025-06-21,Wildfires,"East Gakona River Wildfire, Copper River, Alaska"
2025-06-21,Wildfires,"Sand Lake Wildfire, Southeast Fairbanks, Alaska"
2025-06-21,Wildfires,"Kerulu Wildfire, Northwest Arctic, Alaska"
2025-06-21,Wildfires,"Tallowpot Wildfire, Northwest Arctic, Alaska"
2025-06-21,Wildfires,"McArthur Creek Wildfire, Southeast Fairbanks, Alaska"
2025-06-20,Wildfires,"Ridgeline Wildfire, Southeast Fairbanks, Alaska"
2025-06-20,Wildfires,"River Trail Wildfire, Southeast Fairbanks, Alaska"
2025-06-20,Wildfires,"Moldy Wildfire, Yukon-Koyukuk, Alaska"
2025-06-20,Wildfires,"Louie Wildfire, Yukon-Koyukuk, Alaska"
2025-06-20,Wildfires,"Ptarmigan Complex Incident Complex, Yukon-Koyukuk, Alaska"
2025-06-20,Wildfires,"Fish Lake Wildfire, Copper River, Alaska"
2025-06-20,Wildfires,"Porphyry Wildfire, Southeast Fairbanks, Alaska"
2025-06-20,Wildfires,"Goldstream Creek Wildfire, Yukon-Koyukuk, Alaska"
2025-06-20,Wildfires,"Salmon Trout Wildfire, Yukon-Koyukuk, Alaska"
2025-06-20,Wildfires,"Aggie Creek Wildfire, Fairbanks North Star, Alaska"
2025-06-20,Wildfires,"Alligator Wildfire, Yukon-Koyukuk, Alaska"
2025-06-20,Wildfires,"Buckley Bar Wildfire, Yukon-Koyukuk, Alaska"
2025-06-20,Wildfires,"Pilot Creek Wildfire, Yukon-Koyukuk, Alaska"
2025-06-20,Wildfires,"Susulatna Hills Wildfire, Yukon-Koyukuk, Alaska"
2025-06-20,Wildfires,"Easter Wildfire, North Slope, Alaska"
2025-06-20,Wildfires,"Colowyo Wildfire, Moffat, Colorado"
2025-06-20,Wildfires,"Hay Wildfire, Yukon-Koyukuk, Alaska"
2025-06-20,Wildfires,"Birch Wildfire, Yukon-Koyukuk, Alaska"
2025-06-20,Wildfires,"Christian Wildfire, Yukon-Koyukuk, Alaska"
2025-06-20,Wildfires,"Richards Wildfire, Yukon-Koyukuk, Alaska"
2025-06-20,Wildfires,"Takoma Wildfire, Yukon-Koyukuk, Alaska"
2025-06-20,Wildfires,"Michigan Wildfire, Yukon-Koyukuk, Alaska"
2025-06-20,Wildfires,"Conner Wildfire, Douglas, Nevada"
2025-06-20,Wildfires,"EVP HID Rx 0620 Prescribed Fire, Miami-Dade, Florida"
2025-06-20,Wildfires,"Saint George Creek Wildfire, Denali, Alaska"
2025-06-20,Wildfires,"Turtle Wildfire, Yukon-Koyukuk, Alaska"
2025-06-20,Wildfires,"Bonanza Creek Wildfire, Fairbanks North Star, Alaska"
2025-06-20,Wildfires,"Ikheenjik Wildfire, Yukon-Koyukuk, Alaska"
2025-06-19,Wildfires,"Bear Creek Wildfire, Denali, Alaska"
2025-06-19,Wildfires,"Forsyth Wildfire, Washington, Utah"
2025-06-19,Wildfires,"Aniralik Wildfire, Northwest Arctic, Alaska"
2025-06-19,Wildfires,"BCP Mullet B Rx 0619 Prescribed Fire, Collier, Florida"
2025-06-18,Wildfires,"BAER BUCK Emergency Stabilization, Catron, New Mexico"
2025-06-18,Wildfires,"SMR Port Leon West Rx 0618 Prescribed Fire, Wakulla, Florida"
2025-06-17,Wildfires,"SEVEN SPRINGS Wildfire, Otero, New Mexico"
2025-06-17,Wildfires,"0300 WOLF HOLLOW GILLIAM COUNTY ASSIST Wildfire, Gilliam, Oregon"
2025-06-17,Wildfires,"MONTE Wildfire, San Diego, California"
2025-06-17,Wildfires,"Tango Wildfire, Yukon-Koyukuk, Alaska"
2025-06-17,Wildfires,"HelpMeJack Wildfire, Yukon-Koyukuk, Alaska"
2025-06-17,Wildfires,"Tagagawik Wildfire, Yukon-Koyukuk, Alaska"
2025-06-17,Wildfires,"BCP Mullet B Rx 0617 Prescribed Fire, Collier, Florida"
2025-06-16,Wildfires,"Telidaside Wildfire, Yukon-Koyukuk, Alaska"
2025-06-16,Wildfires,"Hogatza Wildfire, Yukon-Koyukuk, Alaska"
2025-06-16,Wildfires,"Kawichiark 2 Wildfire, Northwest Arctic, Alaska"
2025-06-16,Wildfires,"Kawichiark 1 Wildfire, Northwest Arctic, Alaska"
2025-06-16,Wildfires,"0291 ALDER SPRINGS Wildfire, Jefferson, Oregon"
2025-06-16,Wildfires,"APQ Area 1 Rx 0616 Prescribed Fire, Polk, Florida"
2025-06-16,Wildfires,"BCP Mullet B Rx 0616 Prescribed Fire, Collier, Florida"
2025-06-14,Wildfires,"pouch point Wildfire, Mountrail, North Dakota"
2025-06-14,Wildfires,"pouch point Wildfire, Mountrail, North Dakota"
2025-06-14,Wildfires,"Oskawalik Wildfire, Bethel, Alaska"
2025-06-14,Wildfires,"pouch point Wildfire, Mountrail, North Dakota"
2025-06-14,Wildfires,"BCP Mullet B Rx 0614 Prescribed Fire, Collier, Florida"
2025-06-13,Wildfires,"DOGS Wildfire, Kern, California"
2025-06-13,Wildfires,"Mines Spung Wildfire, Burlington, New Jersey"
2025-06-13,Wildfires,"Bridge Creek Wildfire, San Juan, Utah"
2025-06-13,Wildfires,"Horse Wildfire, Sublette, Wyoming"
2025-06-13,Wildfires,"POMAS Wildfire, Chelan, Washington"
2025-06-13,Wildfires,"VANSYCLE CANYON Wildfire, Walla Walla, Washington"
2025-06-12,Wildfires,"Gyetta South RX Prescribed Fire, Yavapai, Arizona"
2025-06-12,Wildfires,"BUCK Wildfire, Catron, New Mexico"
2025-06-12,Wildfires,"Trout Wildfire, Grant, New Mexico"
2025-06-12,Wildfires,"VANSYCLE CANYON Wildfire, Walla Walla, Washington"
2025-06-12,Wildfires,"0262 FERRY Wildfire, Sherman, Oregon"
2025-06-11,Wildfires,"France Canyon Wildfire, Garfield, Utah"
2025-06-11,Wildfires,"Rosencrans Wildfire, Lincoln, Nevada"
2025-06-11,Wildfires,"ROWENA Wildfire, Wasco, Oregon"
2025-06-11,Wildfires,"Ollie Roberts Road- Hardee Wildfire, Hardee, Florida"
2025-06-11,Wildfires,"Burnt Canyon Wildfire, Lincoln, Nevada"
2025-06-03,Wildfires,"Dunes Wildfire, Washington, Idaho"
2025-06-03,Wildfires,"Holly Springs IU 36 1 34 1 RX Prescribed Fire, Marshall, Mississippi"
2025-06-03,Wildfires,"OKR Blackjack Island Rx 0603 Prescribed Fire, Ware, Georgia"
2025-05-31,Wildfires,"Banana Lake Wildfire, Sanders, Montana"
2025-05-30,Wildfires,"SNF E Hamilton C-55 RX Prescribed Fire, Shelby, Texas"
2025-05-29,Wildfires,"RA 2 PAYETTE CO ASHLOCK Wildfire, Payette, Idaho"
2025-05-29,Wildfires,"BAR Camp Bowie Rx Prescribed Fire, Brown, Texas"
2025-05-27,Wildfires,"Perchman Wildfire, Putnam, Florida"
2025-05-26,Wildfires,"Paradise Wildfire, Catron, New Mexico"
2025-05-26,Wildfires,"NEW WALES (53) Wildfire, Polk, Florida"
2025-05-26,Wildfires,"Wood Wildfire, Highlands, Florida"
2025-05-25,Wildfires,"BUTTE CREEK Wildfire, Wheeler, Oregon"
2025-05-25,Wildfires,"CAMP Wildfire, Lincoln, New Mexico"
2025-05-25,Wildfires,"Kathul Wildfire, Southeast Fairbanks, Alaska"
2025-05-24,Wildfires,"Sandy Wildfire, Monroe, Florida"
2025-05-24,Wildfires,"dinwoodie Wildfire, Mountrail, North Dakota"
2025-05-24,Wildfires,"dinwoodie Wildfire, McKenzie, North Dakota"
2025-05-23,Wildfires,"dinwoodie Wildfire, Mountrail, North Dakota"
2025-05-23,Wildfires,"Rx Trinity 2730 Prescribed Fire, Trinity, Texas"
2025-05-23,Wildfires,"RX Compartment 113 East Prescribed Fire, Jasper, Georgia"
2025-05-22,Wildfires,"INN Wildfire, Mono, California"
2025-05-21,Wildfires,"CODY Wildfire, Pinal, Arizona"
2025-05-21,Wildfires,"Broadway Wildfire, La Paz, Arizona"
2025-05-21,Wildfires,"SNF Hawthorne C 51-52 RX Prescribed Fire, San Augustine, Texas"
2025-05-19,Wildfires,"FD2505120020 Wildfire, Grant, North Dakota"
2025-05-19,Wildfires,"Homochitto BB 67 68 RX Prescribed Fire, Wilkinson, Mississippi"
2025-05-19,Wildfires,"RX Kent 2681 Prescribed Fire, Kent, Texas"
2025-05-19,Wildfires,"DeSoto BB 7255 North GFP RX Prescribed Fire, Harrison, Mississippi"
2025-05-19,Wildfires,"Rx San Augustine 2664 Prescribed Fire, San Augustine, Texas"
2025-05-18,Wildfires,"Democrat Wildfire, Kern, California"
2025-05-17,Wildfires,"APQ Delta Prairie Rx 0517 Prescribed Fire, Highlands, Florida"
2025-05-16,Wildfires,"Bluff Creek Wildfire, Jackson, Mississippi"
2025-05-16,Wildfires,"Homochitto BB45sub1 and Pockets of Sub2 RX Prescribed Fire, Franklin, Mississippi"
2025-05-15,Wildfires,"RX Mason Valley Fishponds Prescribed Fire, Lyon, Nevada"
2025-05-15,Wildfires,"APQ Rec Area 4 Rx 0515 Prescribed Fire, Highlands, Florida"
2025-05-14,Wildfires,"APQ Rec Area 4 Rx 0514 Prescribed Fire, Highlands, Florida"
2025-05-14,Wildfires,"ACRES Wildfire, Madera, California"
2025-05-13,Wildfires,"Greer Wildfire, Apache, Arizona"
2025-05-07,Wildfires,"rx-63 Wildfire, Burnett, Wisconsin"
2025-05-07,Wildfires,"RX DRAKE RANCH SW Wildfire, Murray, Oklahoma"
2025-05-07,Wildfires,"RX DRAKE RANCH Wildfire, Pottawatomie, Oklahoma"
2025-05-07,Wildfires,"RX PENNER RANCH Wildfire, Murray, Oklahoma"
2025-05-06,Wildfires,"OP-1 Wildfire, Polk, Florida"
2025-05-05,Wildfires,"Darrynane Lake RX Wildfire, Stafford, Kansas"
2025-05-05,Wildfires,"Rx Polk 2488 Wildfire, Polk, Texas"
2025-05-05,Wildfires,"Holly Springs IU 98 sub 1 RX Wildfire, Lafayette, Mississippi"
2025-05-05,Wildfires,"Walden RX Wildfire, Pope, Minnesota"
2025-05-05,Wildfires,"Pouch Point Wildfire, Mountrail, North Dakota"
2025-05-05,Wildfires,"RX CALE C-25 Wildfire, Rapides, Louisiana"
2025-05-05,Wildfires,"RX KIS C-64 Wildfire, Natchitoches, Louisiana"
2025-05-04,Wildfires,"Iron Wildfire, Catron, New Mexico"
2025-05-03,Wildfires,"Whelan Lake Block 1&amp; 2 RX Wildfire, Mason, Michigan"
2025-05-02,Wildfires,"Sunset RD Wildfire, Brunswick, North Carolina"
2025-05-02,Wildfires,"Rx Polk 2469 Wildfire, Polk, Texas"
2025-05-02,Wildfires,"Salt Creek Rx Wildfire, Box Elder, Utah"
2025-05-01,Wildfires,"Sawlog Wildfire, Beaverhead, Montana"
2025-05-01,Wildfires,"American Creek RX Wildfire, Lyman, South Dakota"
2025-04-30,Wildfires,"Homochitto BB 45 Sub 1 2 RX Wildfire, Franklin, Mississippi"
2025-04-30,Wildfires,"Chickasawhay CPT 356 RX Wildfire, Jones, Mississippi"
2025-04-29,Wildfires,"DeSoto BB 7203 East RX Wildfire, Perry, Mississippi"
2025-04-29,Wildfires,"Homochitto BB 36 S Sub 5 RX Wildfire, Wilkinson, Mississippi"
2025-04-29,Wildfires,"RX CAT C-32-33-34 Wildfire, Grant, Louisiana"
2025-04-29,Wildfires,"RX KIS C-24-25 Wildfire, Natchitoches, Louisiana"
2025-04-29,Wildfires,"RX CALE C-49 Wildfire, Rapides, Louisiana"
2025-04-29,Wildfires,"ANF Guidrey C 65 RX Wildfire, Angelina, Texas"
2025-04-29,Wildfires,"Horse Heaven Rx Wildfire, Wythe, Virginia"
2025-04-28,Wildfires,"rx-Lapham Good Oak 2025 Wildfire, Waukesha, Wisconsin"
2025-04-28,Wildfires,"Rainbow Gulch RX Wildfire, El Paso, Colorado"
2025-04-28,Wildfires,"Stronghold Wildfire, Cochise, Arizona"
2025-04-28,Wildfires,"DeSoto BB 7209 Northwest RX Wildfire, Perry, Mississippi"
2025-04-28,Wildfires,"RX CALE C-362 Wildfire, Rapides, Louisiana"
2025-04-28,Wildfires,"RX KIS C-43-44 Wildfire, Natchitoches, Louisiana"
2025-04-27,Wildfires,Wildfire in Australia 1023712
2025-04-27,Wildfires,"BLACK SWAMP Wildfire, Jones, North Carolina"
2025-04-26,Wildfires,"Dutch Mill RX Wildfire, Delta, Michigan"
2025-04-26,Wildfires,"Farrell RX Wildfire, Codington, South Dakota"
2025-04-25,Wildfires,"RX BOSH JACKPOT Wildfire, Owyhee, Idaho"
2025-04-25,Wildfires,"27 FIRE Wildfire, Broward, Florida"
2025-04-24,Wildfires,"Bee Island Fire (58) Wildfire, Sarasota, Florida"
2025-04-24,Wildfires,"Thompson Hollow Rd. Wildfire, Adams, Pennsylvania"
2025-04-24,Wildfires,"Fore Mountain Rx Wildfire, Alleghany, Virginia"
2022-04-29,Sea and Lake Ice,Iceberg C39
2023-02-03,Sea and Lake Ice,Iceberg C39
2023-08-11,Sea and Lake Ice,Iceberg C39
2025-04-24,Sea and Lake Ice,Iceberg C39
2025-05-02,Sea and Lake Ice,Iceberg C39
2025-05-09,Sea and Lake Ice,Iceberg C39
2025-05-22,Sea and Lake Ice,Iceberg C39
2025-05-29,Sea and Lake Ice,Iceberg C39
2025-06-05,Sea and Lake Ice,Iceberg C39
2025-06-20,Sea and Lake Ice,Iceberg C39
2025-07-11,Sea and Lake Ice,Iceberg C39
2025-07-31,Sea and Lake Ice,Iceberg C39
2025-09-04,Sea and Lake Ice,Iceberg C39
2025-10-09,Sea and Lake Ice,Iceberg C39
2025-10-16,Sea and Lake Ice,Iceberg C39
2025-11-21,Sea and Lake Ice,Iceberg C39
2025-04-24,Sea and Lake Ice,Iceberg D36A
2025-04-24,Sea and Lake Ice,Iceberg D36B
2025-04-23,Wildfires,"Jones Road Wildfire, Ocean, New Jersey"
2025-04-22,Wildfires,"Curry Island (22) Wildfire, Glades, Florida"
2025-04-22,Wildfires,Wildfire in Russian Federation 1023700
2025-04-22,Wildfires,Wildfire in Russian Federation 1023704
2025-04-22,Wildfires,Wildfire in Russian Federation 1023706
2025-04-22,Wildfires,Wildfire in Russian Federation 1023707
2025-04-22,Wildfires,Wildfire in Russian Federation 1023710
2025-04-22,Wildfires,"Pines RX Wildfire, Sevier, Utah"
2025-04-22,Wildfires,"NW Prairie South RX Wildfire, Lac qui Parle, Minnesota"
2025-04-21,Wildfires,"Plum Creek Wildfire, Brown, Nebraska"
2025-04-21,Wildfires,Wildfire in Mexico 1023698
2025-04-21,Wildfires,"LXR Eastside Rx 0419 Wildfire, Palm Beach, Florida"
2025-04-20,Wildfires,Wildfire in Russian Federation 1023708
2025-04-19,Wildfires,Wildfire in Russian Federation 1023695
2025-04-19,Wildfires,Wildfire in Russian Federation 1023701
2025-04-19,Wildfires,Wildfire in Australia 1023713
2025-04-19,Wildfires,"Hwy 210 Wildfire, Pender, North Carolina"
2025-04-19,Wildfires,"Danny&#039;s Wildfire, Cumberland, New Jersey"
2025-04-18,Wildfires,Wildfire in Cuba 1023709
2025-04-18,Wildfires,Wildfire in Russian Federation 1023705
2025-04-18,Wildfires,"LIRI FY25 Slant Rock RX Wildfire, Winston, Alabama"
2025-04-18,Wildfires,"rx-51 North Wildfire, Burnett, Wisconsin"
2025-04-17,Wildfires,Wildfire in Laos 1023696
2025-04-17,Wildfires,Wildfire in Russian Federation 1023699
2025-04-17,Wildfires,Wildfire in Russian Federation 1023702
2025-04-17,Wildfires,Wildfire in Russian Federation 1023711
2025-04-17,Wildfires,"DCNF C. 41/42 RX Wildfire, Houston, Texas"
2025-04-17,Wildfires,"Tombigbee CPT 79 77 RX Wildfire, Winston, Mississippi"
2025-04-17,Wildfires,"RX C1 &amp; C2 Wildfire, Montgomery, Arkansas"
2025-04-17,Wildfires,"Partridge Two Wildfire, Morrison, Minnesota"
2025-04-17,Wildfires,"Bienville CPT 61 63 RX Wildfire, Scott, Mississippi"
2025-04-17,Wildfires,"RX Stevens Wildfire, Polk, Arkansas"
2025-04-17,Wildfires,"LXR Eastside Rx 0417 Wildfire, Palm Beach, Florida"
2025-04-17,Wildfires,"Fed Park RX Wildfire, Mason, Michigan"
2025-04-16,Wildfires,"Buck Creek Fire Wildfire, Pushmataha, Oklahoma"
2025-04-16,Wildfires,"Mio Prairie RX Wildfire, Oscoda, Michigan"
2025-04-16,Wildfires,"Holly Springs IU 140 1  141 1 RX Wildfire, Yalobusha, Mississippi"
2025-04-16,Wildfires,"RX Alamo 17 Wildfire, Garland, Arkansas"
2025-04-16,Wildfires,"RX Crystal Peninsula &amp; Hickory Nut Wildfire, Garland, Arkansas"
2025-04-16,Wildfires,"RX Bo/Mag Byway Wildfire, Logan, Arkansas"
2025-04-16,Wildfires,"RX CAN C23-28 Wildfire, Webster, Louisiana"
2025-04-16,Wildfires,"RX CAN C-29 Wildfire, Webster, Louisiana"
2025-04-16,Wildfires,"RX Greenhaw Wildfire, Newton, Arkansas"
2025-04-16,Wildfires,"RX Buffalo Road Wildfire, Scott, Arkansas"
2025-04-16,Wildfires,"Site 3 RX A&amp;C Wildfire, Talladega, Alabama"
2025-04-16,Wildfires,"Jail House RX Wildfire, Winston, Alabama"
2025-04-16,Wildfires,"Chase Fuels RX Wildfire, Lake, Michigan"
2025-04-16,Wildfires,"Rx Walker 2224 Wildfire, Walker, Texas"
2025-04-16,Wildfires,"RX Wildcat Hollow East Wildfire, Yell, Arkansas"
2025-04-15,Wildfires,Wildfire in Australia 1023684
2025-04-15,Wildfires,Wildfire in Australia 1023685
2025-04-15,Wildfires,"Picker Flats Fire Wildfire, Adair, Oklahoma"
2025-04-15,Wildfires,"Bee Rock Creek Wildfire, McDowell, North Carolina"
2025-04-15,Wildfires,"RX Ross Creek East 3 Wildfire, Scott, Arkansas"
2025-04-15,Wildfires,"RX CAT C-39 Wildfire, Grant, Louisiana"
2025-04-15,Wildfires,"SHNF C. 6/7 RX Wildfire, Montgomery, Texas"
2025-04-15,Wildfires,"Unit 23 24 26 RX Wildfire, Sherburne, Minnesota"
2025-04-15,Wildfires,"IBSP North RX Wildfire, Lake, Illinois"
2025-04-15,Wildfires,"RX WINN C-23 Wildfire, Winn, Louisiana"
2025-04-15,Wildfires,"ANF Townsend C. 15 RX Wildfire, San Augustine, Texas"
2025-04-15,Wildfires,"RX CALE C-361 Wildfire, Rapides, Louisiana"
2025-04-15,Wildfires,"Hilliardville Wildfire, Wakulla, Florida"
2025-04-14,Wildfires,"Blue Jay Wildfire, Montgomery, Texas"
2025-04-14,Wildfires,Wildfire in Russian Federation 1023690
2025-04-14,Wildfires,Wildfire in Russian Federation 1023697
2025-04-14,Wildfires,Wildfire in Russian Federation 1023703
2025-04-14,Wildfires,"Mill Creek RX Wildfire, Jackson, Illinois"
2025-04-14,Wildfires,"FY25 TAPR WP1 RP1 RP2 CH1 CH2 RX BIL Wildfire, Chase, Kansas"
2025-04-14,Wildfires,"West Funk Lagoon WPA Unit RX Wildfire, Phelps, Nebraska"
2025-04-14,Wildfires,"LAST CHANCE Wildfire, Delaware, Oklahoma"
2025-04-14,Wildfires,"MTMLR-BIL-FY25-RX-Unit 10 Wildfire, Cascade, Montana"
2025-04-14,Wildfires,"Holly Springs IU 131 2  134 1 RX Wildfire, Yalobusha, Mississippi"
2025-04-14,Wildfires,"Double S Middle RX Wildfire, Thomas, Nebraska"
2025-04-14,Wildfires,"RX WINN C-12-19 Wildfire, Natchitoches, Louisiana"
2025-04-14,Wildfires,"Chickasawhay CPT 375 376 RX Wildfire, Wayne, Mississippi"
2025-04-14,Wildfires,"SHNF C 70/72 RX Wildfire, Walker, Texas"
2025-04-14,Wildfires,"rx-Kincaid Spring Wildfire, Waukesha, Wisconsin"
2025-04-14,Wildfires,"RX Stob Gap 12 Alexander Mtn 5 Wildfire, Franklin, Arkansas"
2025-04-14,Wildfires,"RX N Bee Rough Wildfire, McCurtain, Oklahoma"
2025-04-14,Wildfires,"RX Beech Creek C4 C5 C6 Wildfire, Montgomery, Arkansas"
2025-04-14,Wildfires,"RX Wildcat cr/ Barnhart West Wildfire, Yell, Arkansas"
2025-04-13,Wildfires,"South 19th RX Wildfire, Coffey, Kansas"
2025-04-13,Wildfires,"Ceder River Fire Wildfire, Adams, North Dakota"
2025-04-13,Wildfires,"rx-78 Wildfire, Burnett, Wisconsin"
2025-04-13,Wildfires,"Wiregrass RX Wildfire, Clay, Alabama"
2025-04-12,Wildfires,"HAOE LEAD Wildfire, Graham, North Carolina"
2025-04-12,Wildfires,"Juniper Swamp Wildfire, Liberty, Florida"
2025-04-12,Wildfires,Wildfire in Russian Federation 1023674
2025-04-12,Wildfires,Wildfire in Russian Federation 1023680
2025-04-12,Wildfires,Wildfire in Australia 1023687
2025-04-12,Wildfires,Wildfire in Russian Federation 1023688
2025-04-12,Wildfires,Wildfire in Russian Federation 1023691
2025-04-12,Wildfires,"Paur Fire Wildfire, Grand Forks, North Dakota"
2025-04-12,Wildfires,"Maumee RX Wildfire, Jackson, Indiana"
2025-04-12,Wildfires,"Homochitto BB18 South Sub 3 Rx Wildfire, Franklin, Mississippi"
2025-04-12,Wildfires,"Holly Springs IU 113 1 RX Wildfire, Lafayette, Mississippi"
2025-04-12,Wildfires,"SHNF COMP 25 26 RX Wildfire, Walker, Texas"
2025-04-12,Wildfires,"Chickasawhay CPT 352 RX Wildfire, Jones, Mississippi"
2025-04-11,Wildfires,Wildfire in Chad 1023669
2025-04-11,Wildfires,Wildfire in Russian Federation 1023675
2025-04-11,Wildfires,Wildfire in Sudan 1023682
2025-04-11,Wildfires,"Rx San Jacinto 2077 Wildfire, San Jacinto, Texas"
2025-04-11,Wildfires,"Buffalo Wildfire, Dewey, South Dakota"
2025-04-11,Wildfires,"SPA RX - ELK DROP Wildfire, Stevens, Washington"
2025-04-11,Wildfires,"RX Ross Creek East Wildfire, Scott, Arkansas"
2025-04-11,Wildfires,"San Pitch RX Wildfire, Sanpete, Utah"
2025-04-11,Wildfires,"Homochitto BB 18 South Sub 2 3  RX Wildfire, Franklin, Mississippi"
2025-04-11,Wildfires,"Compartment 30 RX Wildfire, Bibb, Alabama"
2025-04-11,Wildfires,"RX Eastern 1 S &amp; Camp Clearfork Wildfire, Garland, Arkansas"
2025-04-11,Wildfires,"RX Walnut 12 Wildfire, Montgomery, Arkansas"
2025-04-11,Wildfires,"DCNF C. 39 RX Wildfire, Houston, Texas"
2025-04-11,Wildfires,"RX CALV C-253-254-259 Wildfire, Vernon, Louisiana"
2025-04-11,Wildfires,"rx-Pierce-Jacobson Flowage Wildfire, Walworth, Wisconsin"
2025-04-11,Wildfires,"RX Rock Creek Wildfire, Van Buren, Arkansas"
2025-04-11,Wildfires,"RX Whiskey Springs North Wildfire, Crawford, Arkansas"
2025-04-11,Wildfires,"RX Bee Knob Wildfire, Yell, Arkansas"
2025-04-11,Wildfires,"Fishing Bay Wildfire, Dorchester, Maryland"
2025-04-11,Wildfires,"Guinea Island Wildfire, Dorchester, Maryland"
2022-03-25,Sea and Lake Ice,Iceberg C38B
2023-06-02,Sea and Lake Ice,Iceberg C38B
2023-07-07,Sea and Lake Ice,Iceberg C38B
2023-07-28,Sea and Lake Ice,Iceberg C38B
2023-08-04,Sea and Lake Ice,Iceberg C38B
2023-12-28,Sea and Lake Ice,Iceberg C38B
2024-02-08,Sea and Lake Ice,Iceberg C38B
2024-03-01,Sea and Lake Ice,Iceberg C38B
2025-04-11,Sea and Lake Ice,Iceberg C38B
